published_date,title,author,rank,weeks_on_list
2025-09-21,TOM CLANCY: TERMINAL VELOCITY,M.P. Woodward,9,1
2025-09-21,THE THURSDAY MURDER CLUB,Richard Osman,10,2
2025-09-21,QUICKSILVER,Callie Hart,11,11
2025-09-21,PROJECT HAIL MARY,Andy Weir,12,21
2025-09-21,DEADLY STORMS,Christine Feehan,13,1
2025-09-21,THE COLOR OF DEATH,Trey Gowdy with Christopher Greyson,14,2
2025-09-21,LEAVE ME BEHIND,K.M. Moronova,15,1
2025-09-28,THE SECRET OF SECRETS,Dan Brown,1,1
2025-09-28,WILD CARD,Elsie Silver,2,1
2025-09-28,CLOWN TOWN,Mick Herron,3,1
2025-09-28,THE SURROGATE MOTHER,Freida McFadden,4,4
2025-09-28,KATABASIS,R.F. Kuang,5,3
2025-09-28,LOVER FORBIDDEN,J.R. Ward,6,1
2025-09-28,FRAMED IN DEATH,J.D. Robb,7,2
2025-09-28,PITCHER PERFECT,Tessa Bailey,8,1
2025-09-28,CLIVE CUSSLER: THE IRON STORM,Jack Du Brul,9,1
2025-09-28,BUCKEYE,Patrick Ryan,10,2
2025-09-28,THE HALLMARKED MAN,Robert Galbraith,11,2
2025-09-28,PROJECT HAIL MARY,Andy Weir,12,22
2025-09-28,MY FRIENDS,Fredrik Backman,13,13
2025-09-28,PEOPLE WATCHING,Hannah Bonam-Young,14,1
2025-09-28,ATMOSPHERE,Taylor Jenkins Reid,15,14
2025-10-05,THE SECRET OF SECRETS,Dan Brown,1,2
2025-10-05,THE ACADEMY,Elin Hilderbrand and Shelby Cunningham,2,1
2025-10-05,THE GINGERBREAD BAKERY,Laurie Gilmore,3,1
2025-10-05,THE HOUSEMAID,Freida McFadden,4,98
2025-10-05,THE LAST LETTER,Rebecca Yarros,5,1
2025-10-05,THE SURROGATE MOTHER,Freida McFadden,6,5
2025-10-05,AMONG THE BURNING FLOWERS,Samantha Shannon,7,1
2025-10-05,KATABASIS,R.F. Kuang,8,4
2025-10-05,THE SHATTERING PEACE,John Scalzi,9,1
2025-10-05,ASSISTANT TO THE VILLAIN,Hannah Nicole Maehrer,10,4
2025-10-05,WILD CARD,Elsie Silver,11,2
2025-10-05,PROJECT HAIL MARY,Andy Weir,12,23
2025-10-05,BUCKEYE,Patrick Ryan,13,3
2025-10-05,MY FRIENDS,Fredrik Backman,14,14
2025-10-05,THE NIGHTINGALE,Kristin Hannah,15,88
2025-10-12,ALCHEMISED,SenLinYu,1,1
2025-10-12,THE PRIMAL OF BLOOD AND BONE,Jennifer L. Armentrout,2,1
2025-10-12,THE SECRET OF SECRETS,Dan Brown,3,3
2025-10-12,CIRCLE OF DAYS,Ken Follett,4,1
2025-10-12,TOURIST SEASON,Brynne Weaver,5,1
2025-10-12,THE ACADEMY,Elin Hilderbrand and Shelby Cunningham,6,2
2025-10-12,ONE DARK WINDOW,Rachel Gillig,7,1
2025-10-12,TWO TWISTED CROWNS,Rachel Gillig,8,2
2025-10-12,THIS INEVITABLE RUIN,Matt Dinniman,9,1
2025-10-12,WHAT WE CAN KNOW,Ian McEwan,10,1
2025-10-12,THE GINGERBREAD BAKERY,Laurie Gilmore,11,2
2025-10-12,A SLOWLY DYING CAUSE,Elizabeth George,12,1
2025-10-12,THE HOUSEMAID,Freida McFadden,13,99
2025-10-12,THE LONELINESS OF SONIA AND SUNNY,Kiran Desai,14,1
2025-10-12,THE SURROGATE MOTHER,Freida McFadden,15,6
2025-10-19,THE IMPOSSIBLE FORTUNE,Richard Osman,1,1
2025-10-19,THE SECRET OF SECRETS,Dan Brown,2,4
2025-10-19,ALCHEMISED,SenLinYu,3,2
2025-10-19,FOURTH WING,Rebecca Yarros,4,98
2025-10-19,VINCE FLYNN: DENIED ACCESS,Don Bentley,5,1
2025-10-19,IRON FLAME,Rebecca Yarros,6,70
2025-10-19,THE PORTRAIT,Danielle Steel,7,1
2025-10-19,SOUL SEARCHING,Lyla Sage,8,1
2025-10-19,THE ACADEMY,Elin Hilderbrand and Shelby Cunningham,9,3
2025-10-19,BURNING DAYLIGHT,Emily McIntire,10,1
2025-10-19,THE KILLING STONES,Ann Cleeves,11,1
2025-10-19,THE HOUSEMAID,Freida McFadden,12,100
2025-10-19,CIRCLE OF DAYS,Ken Follett,13,2
2025-10-19,THE GIRL FROM DEVIL'S LAKE,J.A. Jance,14,1
2025-10-19,TOURIST SEASON,Brynne Weaver,15,2
2025-10-26,MATE,Ali Hazelwood,1,1
2025-10-26,THE INTRUDER,Freida McFadden,2,1
2025-10-26,THE SECRET OF SECRETS,Dan Brown,3,5
2025-10-26,CRY HAVOC,Jack Carr,4,1
2025-10-26,TWICE,Mitch Albom,5,1
2025-10-26,ALCHEMISED,SenLinYu,6,3
2025-10-26,SHARP FORCE,Patricia Cornwell,7,1
2025-10-26,MY BELOVED,Jan Karon,8,1
2025-10-26,SHADOW TICKET,Thomas Pynchon,9,1
2025-10-26,ALCHEMY OF SECRETS,Stephanie Garber,10,1
2025-10-26,FOURTH WING,Rebecca Yarros,11,99
2025-10-26,FOR WHOM THE BELLE TOLLS,Jaysea Lynn,12,1
2025-10-26,THE ACADEMY,Elin Hilderbrand and Shelby Cunningham,13,4
2025-10-26,IRON FLAME,Rebecca Yarros,14,71
2025-10-26,THE HOUSEMAID,Freida McFadden,15,101
2025-11-02,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,1,1
2025-11-02,REMAIN,Nicholas Sparks with M. Night Shyamalan,2,1
2025-11-02,MATE,Ali Hazelwood,3,2
2025-11-02,THE SECRET OF SECRETS,Dan Brown,4,6
2025-11-02,ALCHEMISED,SenLinYu,5,4
2025-11-02,RED RISING,Pierce Brown,6,1
2025-11-02,THE INTRUDER,Freida McFadden,7,2
2025-11-02,LIGHTS OUT,Navessa Allen,8,26
2025-11-02,"MERRY CHRISTMAS, YOU FILTHY ANIMAL",Meghan Quinn,9,1
2025-11-02,TWICE,Mitch Albom,10,2
2025-11-02,THE PICASSO HEIST,James Patterson and Howard Roughan,11,1
2025-11-02,FOURTH WING,Rebecca Yarros,12,100
2025-11-02,BOLEYN TRAITOR,Philippa Gregory,13,1
2025-11-02,THE ACADEMY,Elin Hilderbrand and Shelby Cunningham,14,5
2025-11-02,THE HOUSEMAID,Freida McFadden,15,102
2025-11-09,THE WIDOW,John Grisham,1,1
2025-11-09,THE PROVING GROUND,Michael Connelly,2,1
2025-11-09,THE THINGS GODS BREAK,Abigail Owen,3,1
2025-11-09,THE SECRET OF SECRETS,Dan Brown,4,7
2025-11-09,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,5,2
2025-11-09,ALCHEMISED,SenLinYu,6,5
2025-11-09,REMAIN,Nicholas Sparks with M. Night Shyamalan,7,2
2025-11-09,MATE,Ali Hazelwood,8,3
2025-11-09,KING SORROW,Joe Hill,9,1
2025-11-09,GOOD SPIRITS,B.K. Borison,10,1
2025-11-09,TWICE,Mitch Albom,11,3
2025-11-09,THE INTRUDER,Freida McFadden,12,3
2025-11-09,LIGHTS OUT,Navessa Allen,13,27
2025-11-09,"MERRY CHRISTMAS, YOU FILTHY ANIMAL",Meghan Quinn,14,2
2025-11-09,FOURTH WING,Rebecca Yarros,15,101
2025-11-16,THE BLACK WOLF,Louise Penny,1,1
2025-11-16,THE WIDOW,John Grisham,2,2
2025-11-16,BONDS OF HERCULES,Jasmine Mas,3,1
2025-11-16,THE SECRET OF SECRETS,Dan Brown,4,8
2025-11-16,THE PROVING GROUND,Michael Connelly,5,2
2025-11-16,THE DEFENDER,Ana Huang,6,1
2025-11-16,THE TIN MEN,Nelson DeMille and Alex DeMille,7,1
2025-11-16,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,8,3
2025-11-16,ALCHEMISED,SenLinYu,9,6
2025-11-16,REMAIN,Nicholas Sparks with M. Night Shyamalan,10,3
2025-11-16,MATE,Ali Hazelwood,11,4
2025-11-16,TWICE,Mitch Albom,12,4
2025-11-16,THE HOUSEMAID,Freida McFadden,13,103
2025-11-16,THE INTRUDER,Freida McFadden,14,4
2025-11-16,WRECK,Catherine Newman,15,1
2025-11-23,THE WIDOW,John Grisham,1,3
2025-11-23,THE SECRET OF SECRETS,Dan Brown,2,9
2025-11-23,MURDER AT HOLLY HOUSE,Denzil Meyrick,3,1
2025-11-23,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,4,4
2025-11-23,THE PROVING GROUND,Michael Connelly,5,3
2025-11-23,ALCHEMISED,SenLinYu,6,7
2025-11-23,REMAIN,Nicholas Sparks with M. Night Shyamalan,7,4
2025-11-23,THE BLACK WOLF,Louise Penny,8,2
2025-11-23,THE GOD OF THE WOODS,Liz Moore,9,15
2025-11-23,THE HOUSEMAID,Freida McFadden,10,104
2025-11-23,BAD BISHOP,L.J. Shen,11,1
2025-11-23,THE CHRISTMAS STRANGER,Richard Paul Evans,12,1
2025-11-23,THE INTRUDER,Freida McFadden,13,5
2025-11-23,EMPIRE OF THE DAWN,Jay Kristoff,14,1
2025-11-23,TWICE,Mitch Albom,15,5
2025-11-30,EXIT STRATEGY,Lee Child and Andrew Child,1,1
2025-11-30,THE STRENGTH OF THE FEW,James Islington,2,1
2025-11-30,NASH FALLS,David Baldacci,3,1
2025-11-30,THE WIDOW,John Grisham,4,4
2025-11-30,THE KING'S RANSOM,Janet Evanovich,5,1
2025-11-30,BETWEEN TWO KINGS,Lindsay Straube,6,1
2025-11-30,ALCHEMISED,SenLinYu,7,8
2025-11-30,THE SECRET OF SECRETS,Dan Brown,8,10
2025-11-30,THE CORRESPONDENT,Virginia Evans,9,1
2025-11-30,REMAIN,Nicholas Sparks with M. Night Shyamalan,10,5
2025-11-30,QUICKSILVER,Callie Hart,11,12
2025-11-30,MURDER AT HOLLY HOUSE,Denzil Meyrick,12,2
2025-11-30,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,13,5
2025-11-30,THE HOUSEMAID,Freida McFadden,14,105
2025-11-30,THE PROVING GROUND,Michael Connelly,15,4
2025-12-07,BRIMSTONE,Callie Hart,1,1
2025-12-07,THE SEVEN RINGS,Nora Roberts,2,1
2025-12-07,RETURN OF THE SPIDER,James Patterson,3,1
2025-12-07,THE WIDOW,John Grisham,4,5
2025-12-07,QUICKSILVER,Callie Hart,5,13
2025-12-07,NASH FALLS,David Baldacci,6,2
2025-12-07,THE COLOR OF HOPE,Danielle Steel,7,1
2025-12-07,EXIT STRATEGY,Lee Child and Andrew Child,8,2
2025-12-07,THE SECRET OF SECRETS,Dan Brown,9,11
2025-12-07,THE CORRESPONDENT,Virginia Evans,10,2
2025-12-07,CLIVE CUSSLER: QUANTUM TEMPEST,Mike Maden,11,1
2025-12-07,ALCHEMISED,SenLinYu,12,9
2025-12-07,PROJECT HAIL MARY,Andy Weir,13,24
2025-12-07,THE HOUSEMAID,Freida McFadden,14,106
2025-12-07,MURDER AT HOLLY HOUSE,Denzil Meyrick,15,3
2025-12-14,BRIMSTONE,Callie Hart,1,2
2025-12-14,THE WIDOW,John Grisham,2,6
2025-12-14,THE SECRET OF SECRETS,Dan Brown,3,12
2025-12-14,ALCHEMISED,SenLinYu,4,10
2025-12-14,QUICKSILVER,Callie Hart,5,14
2025-12-14,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,6,6
2025-12-14,THE CORRESPONDENT,Virginia Evans,7,3
2025-12-14,THE HOUSEMAID,Freida McFadden,8,107
2025-12-14,THE BOOK OF AZRAEL,Amber V. Nicole,9,1
2025-12-14,RETURN OF THE SPIDER,James Patterson,10,2
2025-12-14,PROJECT HAIL MARY,Andy Weir,11,25
2025-12-14,EXIT STRATEGY,Lee Child and Andrew Child,12,3
2025-12-14,THE INTRUDER,Freida McFadden,13,6
2025-12-14,MURDER AT HOLLY HOUSE,Denzil Meyrick,14,4
2025-12-14,THE SEVEN RINGS,Nora Roberts,15,2
2025-12-21,THE WIDOW,John Grisham,1,7
2025-12-21,BRIMSTONE,Callie Hart,2,3
2025-12-21,THE CORRESPONDENT,Virginia Evans,3,4
2025-12-21,THE SECRET OF SECRETS,Dan Brown,4,13
2025-12-21,THE HOUSEMAID,Freida McFadden,5,108
2025-12-21,PROJECT HAIL MARY,Andy Weir,6,26
2025-12-21,SWEET VENOM,Rina Kent,7,1
2025-12-21,ALCHEMISED,SenLinYu,8,11
2025-12-21,RETURN OF THE SPIDER,James Patterson,9,3
2025-12-21,NASH FALLS,David Baldacci,10,3
2025-12-21,EXIT STRATEGY,Lee Child and Andrew Child,11,4
2025-12-21,QUICKSILVER,Callie Hart,12,15
2025-12-21,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,13,7
2025-12-21,HEATED RIVALRY,Rachel Reid,14,1
2025-12-21,THEO OF GOLDEN,Allen Levi,15,1
2025-12-28,THE WIDOW,John Grisham,1,8
2025-12-28,THE CORRESPONDENT,Virginia Evans,2,5
2025-12-28,THE HOUSEMAID,Freida McFadden,3,109
2025-12-28,THE SECRET OF SECRETS,Dan Brown,4,14
2025-12-28,BRIMSTONE,Callie Hart,5,4
2025-12-28,PROJECT HAIL MARY,Andy Weir,6,27
2025-12-28,ALCHEMISED,SenLinYu,7,12
2025-12-28,THEO OF GOLDEN,Allen Levi,8,2
2025-12-28,MONA'S EYES,Thomas Schlesser,9,1
2025-12-28,QUICKSILVER,Callie Hart,10,16
2025-12-28,RETURN OF THE SPIDER,James Patterson,11,4
2025-12-28,NASH FALLS,David Baldacci,12,4
2025-12-28,EXIT STRATEGY,Lee Child and Andrew Child,13,5
2025-12-28,FOURTH WING,Rebecca Yarros,14,102
2025-12-28,THE GOD OF THE WOODS,Liz Moore,15,16
2026-01-04,THE WIDOW,John Grisham,1,9
2026-01-04,THE HOUSEMAID,Freida McFadden,2,110
2026-01-04,THE CORRESPONDENT,Virginia Evans,3,6
2026-01-04,THE SECRET OF SECRETS,Dan Brown,4,15
2026-01-04,THEO OF GOLDEN,Allen Levi,5,3
2026-01-04,THE GOD OF THE WOODS,Liz Moore,6,17
2026-01-04,BRIMSTONE,Callie Hart,7,5
2026-01-04,PROJECT HAIL MARY,Andy Weir,8,28
2026-01-04,MONA'S EYES,Thomas Schlesser,9,2
2026-01-04,ALCHEMISED,SenLinYu,10,13
2026-01-04,RETURN OF THE SPIDER,James Patterson,11,5
2026-01-04,HEATED RIVALRY,Rachel Reid,12,2
2026-01-04,FOURTH WING,Rebecca Yarros,13,103
2026-01-04,QUICKSILVER,Callie Hart,14,17
2026-01-04,THE HOUSEMAID'S SECRET,Freida McFadden,15,12
2026-01-11,THE HOUSEMAID,Freida McFadden,1,111
2026-01-11,THE CORRESPONDENT,Virginia Evans,2,7
2026-01-11,THE WIDOW,John Grisham,3,10
2026-01-11,THE SECRET OF SECRETS,Dan Brown,4,16
2026-01-11,PROJECT HAIL MARY,Andy Weir,5,29
2026-01-11,THEO OF GOLDEN,Allen Levi,6,4
2026-01-11,HEATED RIVALRY,Rachel Reid,7,3
2026-01-11,ALCHEMISED,SenLinYu,8,14
2026-01-11,MONA'S EYES,Thomas Schlesser,9,3
2026-01-11,BRIMSTONE,Callie Hart,10,6
2026-01-11,THE GOD OF THE WOODS,Liz Moore,11,18
2026-01-11,FOURTH WING,Rebecca Yarros,12,104
2026-01-11,THE HOUSEMAID'S SECRET,Freida McFadden,13,13
2026-01-11,QUICKSILVER,Callie Hart,14,18
2026-01-11,THE HOUSEMAID IS WATCHING,Freida McFadden,15,14
2026-01-18,THE HOUSEMAID,Freida McFadden,1,112
2026-01-18,THE CORRESPONDENT,Virginia Evans,2,8
2026-01-18,HEATED RIVALRY,Rachel Reid,3,4
2026-01-18,THEO OF GOLDEN,Allen Levi,4,5
2026-01-18,THE WIDOW,John Grisham,5,11
2026-01-18,THE LONG GAME,Rachel Reid,6,1
2026-01-18,IN YOUR DREAMS,Sarah Adams,7,1
2026-01-18,DUNGEON CRAWLER CARL,Matt Dinniman,8,1
2026-01-18,THE HOUSEMAID'S SECRET,Freida McFadden,9,14
2026-01-18,PROJECT HAIL MARY,Andy Weir,10,30
2026-01-18,ALCHEMISED,SenLinYu,11,15
2026-01-18,THE SECRET OF SECRETS,Dan Brown,12,17
2026-01-18,BRIMSTONE,Callie Hart,13,7
2026-01-18,WE WHO WILL DIE,Stacia Stark,14,1
2026-01-18,THE GOD OF THE WOODS,Liz Moore,15,19
2026-01-25,THE HOUSEMAID,Freida McFadden,1,113
2026-01-25,HEATED RIVALRY,Rachel Reid,2,5
2026-01-25,THEO OF GOLDEN,Allen Levi,3,6
2026-01-25,THE FIRST TIME I SAW HIM,Laura Dave,4,1
2026-01-25,THE CORRESPONDENT,Virginia Evans,5,9
2026-01-25,THE HOUSEMAID'S SECRET,Freida McFadden,6,15
2026-01-25,THE LONG GAME,Rachel Reid,7,2
2026-01-25,PEOPLE WE MEET ON VACATION,Emily Henry,8,39
2026-01-25,DUNGEON CRAWLER CARL,Matt Dinniman,9,2
2026-01-25,PROJECT HAIL MARY,Andy Weir,10,31
2026-01-25,THE WIDOW,John Grisham,11,12
2026-01-25,THE LAST LETTER,Rebecca Yarros,12,2
2026-01-25,DARK JOY,Christine Feehan,13,1
2026-01-25,GAME CHANGER,Rachel Reid,14,1
2026-01-25,THE HOUSEMAID IS WATCHING,Freida McFadden,15,15
2026-02-01,THE CORRESPONDENT,Virginia Evans,1,10
2026-02-01,HEATED RIVALRY,Rachel Reid,2,6
2026-02-01,THE HOUSEMAID,Freida McFadden,3,114
2026-02-01,THEO OF GOLDEN,Allen Levi,4,7
2026-02-01,WOMAN DOWN,Colleen Hoover,5,1
2026-02-01,PEOPLE WE MEET ON VACATION,Emily Henry,6,40
2026-02-01,THE LONG GAME,Rachel Reid,7,3
2026-02-01,THE DEVIL'S DAUGHTER,Danielle Steel,8,1
2026-02-01,GAME CHANGER,Rachel Reid,9,2
2026-02-01,ANATOMY OF AN ALIBI,Ashley Elston,10,1
2026-02-01,PROJECT HAIL MARY,Andy Weir,11,32
2026-02-01,DUNGEON CRAWLER CARL,Matt Dinniman,12,3
2026-02-01,THE HOUSEMAID'S SECRET,Freida McFadden,13,16
2026-02-01,THE FIRST TIME I SAW HIM,Laura Dave,14,2
2026-02-01,THE WIDOW,John Grisham,15,13
